"REST_ID","REST_NAME","CUISINE"
3001032,"Burger Ka Baap","Fast Food"
3000016,"On The Go","Italian"
3000016,"On The Go","North Indian"
3000016,"On The Go","Desserts"
3000021,"The Cascade Restaurant","Chinese"
3000107,"Haribhavanam Hotel","South Indian"
3000107,"Haribhavanam Hotel","Chettinad"
3000107,"Haribhavanam Hotel","North Indian"
3000770,"Cafe Totaram","Cafe"
3000770,"Cafe Totaram","Fast Food"
18434000,"24 Plus Cafe & Restaurant","Continental"
18434000,"24 Plus Cafe & Restaurant","Fast Food"
18434000,"24 Plus Cafe & Restaurant","Desserts"
18434000,"24 Plus Cafe & Restaurant","Indian"
3000062,"Cream Centre","North Indian"
3000062,"Cream Centre","Chinese"
3000062,"Cream Centre","Italian"
3000062,"Cream Centre","Mexican"
3000014,"Sree Annapoorna","South Indian"
3000014,"Sree Annapoorna","North Indian"
3000014,"Sree Annapoorna","Chinese"
3001065,"Cream Stone","Desserts"
3001065,"Cream Stone","Ice Cream"
3001321,"CakeBee","Bakery"
3001321,"CakeBee","Desserts"
3000126,"Bird On Tree","Continental"
3000126,"Bird On Tree","Chinese"
3000126,"Bird On Tree","Thai"
3000126,"Bird On Tree","Malaysian"
3000126,"Bird On Tree","North Indian"
3000132,"Kites Cafe","Cafe"
3100302,"Machali","Seafood"
3100143,"Kobe Sizzlers","Continental"
3100143,"Kobe Sizzlers","American"
3100422,"Punjab Da Pind","North Indian"
3100422,"Punjab Da Pind","Mughlai"
3100422,"Punjab Da Pind","Chinese"
3100422,"Punjab Da Pind","Mangalorean"
3100008,"Gajalee Sea Food","Seafood"
